Name	Suburb	Stores Number	Location
THE WALK ARCADE Victoria	 Melbourne	 stores: 26	 GPS: -37.814766,144.964729
THRIFT PARK SHOPPING CENTRE Victoria	 Mentone	 stores: 25	 GPS: -37.984204,145.076943
TOK H CENTRE Victoria	 Toorak	 stores: 21	 GPS: -37.84066,145.008246
TRARALGON CENTRE PLAZA Victoria	 Traralgon	 stores: 56	 GPS: -38.194538,146.53939
VERMONT SOUTH SHOPPING CENTRE Victoria	 Vermont South	 stores: 52	 GPS: -37.855243,145.182224
VICTORIA GARDENS SHOPPING CENTRE Victoria	 Richmond	 stores: 80	 GPS: -37.812724,145.010977
VOGUE SHOPPING CENTRE Victoria	 Melbourne	 stores: 18	 GPS: -37.837395,144.996158
WARRINGAL SHOPPING CENTRE Victoria	 Heidelberg	 stores: 39	 GPS: -37.755915,145.068739
WATERFRONT CITY Victoria	 Melbourne		 GPS: -37.814342,144.939035
WATERGARDENS TOWN CENTRE Victoria	 Taylors Lakes	 stores: 246	 GPS: -37.699266,144.775813
WATERVALE SHOPPING CENTRE Victoria	 Sydenham	 stores: 24	 GPS: -37.723117,144.751043
WAVERLEY GARDENS SHOPPING CENTRE Victoria	 Mulgrave	 stores: 116	 GPS: -37.935473,145.189605
WELLINGTON VILLAGE SHOPPING CENTRE Victoria	 Rowville	 stores: 37	 GPS: -37.92821,145.252208
WESTFIELD AIRPORT WEST Victoria	 Melbourne	 stores: 158	 GPS: -37.714077,144.886366
WESTFIELD DONCASTER Victoria	 Doncaster	 stores: 377	 GPS: -37.78685,145.125332
WESTFIELD FOUNTAIN GATE Victoria	 Fountain Gate	 stores: 401	 GPS: -38.017692,145.303787
WESTFIELD GEELONG Victoria	 Geelong	 stores: 160	 GPS: -38.146987,144.362575
WESTFIELD KNOX Victoria	 Wantirna South	 stores: 346	 GPS: -37.86927,145.24004
WESTFIELD PLENTY VALLEY Victoria	 Mill Park	 stores: 170	 GPS: -37.651367,145.071752
WESTFIELD SOUTHLAND Victoria	 Cheltenham	 stores: 324	 GPS: -37.958445,145.054806
WODONGA PLAZA Victoria	 Wodonga	 stores: 48	 GPS: -36.121153,146.881917
WOODGROVE SHOPPING CENTRE Victoria	 Melton	 stores: 161	 GPS: -37.686167,144.56127
WOOLWORTHS WHITEBOX RISE WODONGA Victoria	 Wodonga	 stores: 8	 GPS: -36.139008,146.892456
WYNDHAM VALE SQUARE SHOPPING CENTRE Victoria	 Wyndham Vale	 stores: 11	 GPS: -37.888057,144.607036
WYNDHAM VILLAGE SHOPPING CENTRE Victoria	 Tarneit	 stores: 63	 GPS: -37.849333,144.704302
